reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion,emojis,combined,hf_sentiment,hf_sentiment_label
61a3d856-fd7b-4348-a416-1b69c0a10c94,Pranjal Gupta,improve video quality and give me more option,3,0,42.1.0,2022-01-18 09:33:14,42.1.0,,improve video quality and give me more option ,label_1,neutral
70df948c-b0c8-4ad5-8cc2-08c7958e7632,Sneha Chatterjee,nice app,5,0,42.1.0,2022-01-19 11:07:02,42.1.0,,nice app ,label_2,positive
4dcbb92b-9a04-4809-94ee-1ac5fdf7cf38,David Thakur,vry bad,1,0,42.1.0,2022-01-12 06:28:32,42.1.0,,vry bad ,label_0,negative
0a95f668-0a49-47d0-849e-ad20f59f90ba,Raj Goel,nice,2,0,unknown,2022-01-04 14:40:38,unknown,,nice ,label_2,positive
afc36356-5afb-4130-8fed-6eee235e24a8,Nandu Gamerz,worst app i have ever seen in my life,1,0,unknown,2022-01-18 05:02:49,unknown,,worst app i have ever seen in my life ,label_0,negative
6f0ce94d-d788-4088-a8a5-d75c63737bdc,Mariah Schmitt,easy to use,5,0,42.1.0,2022-01-17 21:59:15,42.1.0,,easy to use ,label_2,positive
cffa087a-3a07-4b87-9549-926c9ed715c4,SMITIKA ROUTRAY,good,4,0,42.1.0,2022-01-16 15:08:20,42.1.0,,good ,label_2,positive
0f929feb-a3be-492e-b00d-d3240cd18ac1,Niranjan Behera,too good but consuming more net,5,0,42.1.0,2022-01-10 04:09:50,42.1.0,,too good but consuming more net ,label_2,positive
2c2a0d66-070d-4258-964f-cbba2c69bf4f,SUKHNANDAN PRASAD SINGH,good,3,0,unknown,2022-01-19 03:20:43,unknown,,good ,label_2,positive
964037f8-d524-4950-a56f-be9899b9a867,Srikanth Mule,good,4,0,42.1.0,2022-01-12 12:40:58,42.1.0,,good ,label_2,positive
a12a6238-7910-4103-aed0-de4ffabd45fc,Kathy Haddock,the sound cut out the second half,2,0,42.1.0,2022-01-18 21:32:10,42.1.0,,the sound cut out the second half ,label_1,neutral
c47d4b8d-5edc-4823-b5a1-205c160da862,Jugal Garg,tutu app pagal,1,0,41.12.0,2022-01-08 05:18:44,41.12.0,,tutu app pagal ,label_1,neutral
63c841d3-3ee5-46a8-91db-6e18c02a4d4d,Lagituaiva Tuaimalo,great.,5,0,41.12.0,2022-01-04 22:21:14,41.12.0,,great. ,label_2,positive
77aed064-9ccc-4b5b-9566-857b36381684,Alkesh Kumar,great 👍,5,0,42.1.0,2022-01-07 13:39:09,42.1.0,👍,great 👍 👍,label_2,positive
45079ef8-67c3-4b47-89b3-ecbd417e93c1,StarfireAjax,sound quality was awful,1,0,42.1.0,2022-01-25 18:50:24,42.1.0,,sound quality was awful ,label_0,negative
dc47b562-bd15-498f-8579-95f7b99b6374,LADDU BHAI YT Chary,nice app,5,0,unknown,2022-01-20 04:05:05,unknown,,nice app ,label_2,positive
85d3f391-b35f-49cd-8a4a-250ef502863a,Olutayo Oladotun,cool interphase,5,0,42.1.0,2022-01-10 13:40:26,42.1.0,,cool interphase ,label_2,positive
a774f408-63b6-46c0-a73d-b7edb2d9ed40,FARDEEN SHAIKH,good...,4,0,42.1.0,2022-01-20 10:00:51,42.1.0,,good... ,label_2,positive
25ca99f6-e3e8-430f-947e-78abe28e2012,Bhawana Ghosh,very fruitful session,5,0,42.1.0,2022-01-18 05:27:05,42.1.0,,very fruitful session ,label_2,positive
ad209f6e-cca4-4e78-a88f-2d2a19918ff9,Proman Nvidia,just problem in video,1,0,42.1.0,2022-01-25 12:15:00,42.1.0,,just problem in video ,label_0,negative
d8a5e0c1-aa4c-47ea-b101-de6ed37f9eee,Elizabeth Galvez,i have great court hearings ... yesaaa,5,0,42.1.0,2022-01-25 17:01:36,42.1.0,,i have great court hearings ... yesaaa ,label_2,positive
cc49c1de-76cb-43b3-88f4-e0a22276de93,rajkumar meena,excellent,5,0,42.1.0,2022-01-28 09:17:56,42.1.0,,excellent ,label_2,positive
8bbd3825-a32d-48ad-8e2c-13d2e10915ab,Afafmhjazi Mjk,حلو,5,0,42.1.0,2022-01-13 05:48:09,42.1.0,,حلو ,label_1,neutral
191b567c-981d-44f7-8a16-258c7d746a98,Tiago Freitas,marvelous,5,0,42.1.0,2022-01-11 19:26:31,42.1.0,,marvelous ,label_1,neutral
93f76111-5dc5-4cfb-896a-d1100191e3b3,Saf Shaheen,best,4,0,42.1.0,2022-01-25 08:12:30,42.1.0,,best ,label_2,positive
e92474dd-7724-4e36-a82d-f9513ef8938b,Nina Maranitz,lags when more then one person tries to talk,4,0,42.1.0,2022-01-12 01:01:42,42.1.0,,lags when more then one person tries to talk ,label_0,negative
bf40a37d-44ab-4855-95ff-571756a27c20,om prakash Vaishnaw,excellent,5,0,42.1.0,2022-01-19 12:42:23,42.1.0,,excellent ,label_2,positive
36b647d3-d6ea-44e0-b377-6daedee24784,Rex .Romania,it sucks !,1,0,42.1.0,2022-01-20 08:44:28,42.1.0,,it sucks ! ,label_0,negative
658e714a-b7a4-4040-a2c7-57e3ef881c44,Clarita Mariano,it's really helpful to connect with people,5,0,42.1.0,2022-01-08 13:42:45,42.1.0,,it's really helpful to connect with people ,label_2,positive
47090512-4e35-4bb3-a859-b2c669ff5883,Padmanaban U,good ui,4,0,42.1.0,2022-01-24 07:43:54,42.1.0,,good ui ,label_2,positive
d6530970-50e1-45ec-858f-5e843bdc5546,The Jungle Philosopher,ease of use for seniors like me.,5,0,42.1.0,2022-01-31 01:47:40,42.1.0,,ease of use for seniors like me. ,label_1,neutral
b878a2ad-9de2-4ad0-abac-11d85d6eb7a6,SONI KUMARI,nice,1,0,unknown,2022-01-10 03:43:37,unknown,,nice ,label_2,positive
3cb8dfb2-aa23-4b6d-a265-5808aba4645e,Tamilarasi Vasu,it helps to students and teachers through clarity,5,0,41.12.0,2022-01-08 05:20:31,41.12.0,,it helps to students and teachers through clarity ,label_2,positive
666f6ad8-198c-4e0d-9cd4-79371d4ab0f1,ankit kumar,audio quality is very disgusting,1,0,42.1.0,2022-01-09 10:48:55,42.1.0,,audio quality is very disgusting ,label_0,negative
1b338f72-33d3-4183-86bc-1f6a40b9c224,Apurva Raj,"well l really liked the app and its features. this is very helpful for everybody whether a student, a teacher aur anyone else. well sometimes there raises the issue of low sound quality but still it's superb",3,1,41.12.0,2022-01-05 08:06:58,41.12.0,,"well l really liked the app and its features. this is very helpful for everybody whether a student, a teacher aur anyone else. well sometimes there raises the issue of low sound quality but still it's superb ",label_2,positive
026d73b5-d61e-4b0e-b8b1-588027f0c521,Scott Reid,this is pretty good app for doing meetings!,5,0,42.1.0,2022-01-10 14:47:42,42.1.0,,this is pretty good app for doing meetings! ,label_2,positive
d9087c85-88e5-4b01-87aa-bbcc23b34c0b,Shelly Todd,my experience was good,4,0,42.1.0,2022-01-27 01:06:10,42.1.0,,my experience was good ,label_2,positive
3feaedec-f8fa-460b-9f00-5bc792f960b7,dhanashri misal,👍,5,0,unknown,2022-01-19 05:01:03,unknown,👍,👍 👍,label_2,positive
55e03be4-d10f-49b8-9236-1749c23a8a82,Bikram Modak,good,5,0,42.1.0,2022-01-17 14:06:44,42.1.0,,good ,label_2,positive
